name,date,lat,lon,length_km,width_km,area_km2,source
A-76A,2026-09-05,-67.2044,-51.7894,135,26,2983.5,demo_simulation
A-76A,2026-08-29,-67.2435,-51.7108,135,26,2983.5,demo_simulation
A-76A,2026-08-22,-67.2495,-51.542,135,26,2983.5,demo_simulation
A-76A,2026-08-15,-67.2707,-51.4683,135,26,2983.5,demo_simulation
A-76A,2026-08-08,-67.3344,-51.1703,135,26,2983.5,demo_simulation
A-76A,2026-08-01,-67.3538,-51.0457,135,26,2983.5,demo_simulation
A-76A,2026-07-25,-67.4248,-50.9741,135,26,2983.5,demo_simulation
A-76A,2026-07-18,-67.4864,-50.7955,135,26,2983.5,demo_simulation
A-76A,2026-07-11,-67.4902,-50.6668,135,26,2983.5,demo_simulation
A-76A,2026-07-04,-67.4953,-50.5073,135,26,2983.5,demo_simulation
A-76A,2026-06-27,-67.533,-50.4229,135,26,2983.5,demo_simulation
A-76A,2026-06-20,-67.574,-50.2595,135,26,2983.5,demo_simulation
A-76A,2026-06-13,-67.6045,-50.189,135,26,2983.5,demo_simulation
A-76A,2026-06-06,-67.6713,-50.0367,135,26,2983.5,demo_simulation
A-76A,2026-05-30,-67.7134,-49.7613,135,26,2983.5,demo_simulation
A-76A,2026-05-23,-67.7207,-49.692,135,26,2983.5,demo_simulation
A-76A,2026-05-16,-67.7048,-49.5926,135,26,2983.5,demo_simulation
A-76A,2026-05-09,-67.8244,-49.3196,135,26,2983.5,demo_simulation
A-76A,2026-05-02,-67.8143,-49.2738,135,26,2983.5,demo_simulation
A-76A,2026-04-25,-67.8429,-49.182,135,26,2983.5,demo_simulation
A-76A,2026-04-18,-67.908,-49.0401,135,26,2983.5,demo_simulation
A-76A,2026-04-11,-67.9422,-48.841,135,26,2983.5,demo_simulation
A-76A,2026-04-04,-67.9879,-48.691,135,26,2983.5,demo_simulation
A-76A,2026-03-28,-67.9897,-48.562,135,26,2983.5,demo_simulation
A-76A,2026-03-21,-68.0098,-48.493,135,26,2983.5,demo_simulation
A-76A,2026-03-14,-68.0614,-48.2545,135,26,2983.5,demo_simulation
A-76A,2026-03-07,-68.1137,-48.1737,135,26,2983.5,demo_simulation
